Genotype	Pop	Sex	Sample	TGA.Plate	TGA	TGA.Prot	Protein	TGA.CanS
FFD19	FFD	F	A2	04182019-2	NA	NA	12.776	NA
FFD19	FFD	F	B2	04182019-2	1.75	0.17156862745098	10.2	0.689030632333253
FFD19	FFD	F	C2	04182019-2	2.836	0.340047961630695	8.34	1.3656544643803
FFD19	FFD	F	D2	04182019-2	2.626	0.266058763931104	9.87	1.06850909209279
FFD19	FFD	F	E2	04182019-2	2.41	0.238613861386139	10.1	0.958288599944333
FFD6	FFD	F	A5	04182019-2	0.417	NA	NA	NA
FFD6	FFD	F	B5	04182019-2	0.235	NA	NA	NA
FFD6	FFD	F	C5	04182019-2	0.322	NA	NA	NA
FFD6	FFD	F	D5	04182019-2	0.24	NA	NA	NA
FFD6	FFD	F	E5	04182019-2	0.329	NA	NA	NA
FFD6	FFD	F	F5	04182019-2	0.305	NA	NA	NA
PC114	PC	F	A2	04182019-2	3.8	0.317195325542571	11.98	1.27387680940792
PC114	PC	F	B2	04182019-2	4.23	0.410679611650485	10.3	1.6493157094397
PC114	PC	F	C2	04182019-2	3.314	0.308279069767442	10.75	1.2380685532829
PC114	PC	F	D2	04182019-2	3.056	0.282309468822171	10.825	1.13377296715731
PC114	PC	F	E2	04182019-2	4.116	0.3338199513382	12.33	1.34064237485221
PC114	PC	F	F2	04182019-2	3.723	NA	NA	NA
PC85	PC	F	A2	04182019-2	2.495	0.252020202020202	9.9	1.01212932538234
PC85	PC	F	B2	04182019-2	3.85	0.452941176470588	8.5	1.81904086935979
PC85	PC	F	C2	04182019-2	2.795	0.300537634408602	9.3	1.20697845144017
PC85	PC	F	D2	04182019-2	3	0.306122448979592	9.8	1.22940742562085
PC85	PC	F	E2	04182019-2	4.388	0.466808510638298	9.4	1.874732974451
PC85	PC	F	F2	04182019-2	3.445	0.33125	10.4	1.33032128514056
FFD10	FFD	M	A1	04192019-1	2.27103403982017	0.213845013165741	10.62	1.09104598553949
FFD10	FFD	M	B1	04192019-1	1.65960179833012	0.131714428438898	12.6	0.672012389994378
FFD10	FFD	M	C1	04192019-1	1.93277670734318	0.201330907014915	9.6	1.02719850517814
FFD10	FFD	M	D1	04192019-1	2.43288375080283	0.227372313159143	10.7	1.16006282224053
FFD10	FFD	M	E1	04192019-1	2.69406979233569	0.228310999350482	11.8	1.16485203750246
FFD10	FFD	M	F1	04192019-1	2.10233354742025	0.156890563240317	13.4	0.800462057348556
FFD19	FFD	M	A2	04192019-1	1.92164418754014	0.256219225005352	7.5	1.30724094390486
FFD19	FFD	M	B2	04192019-1	NA	NA	8.35	NA
FFD19	FFD	M	C2	04192019-1	2.1211731963177	0.313319526782526	6.77	1.59856901419656
FFD19	FFD	M	D2	04192019-1	2.08178120316849	0.298677360569367	6.97	1.52386408453759
FFD19	FFD	M	E2	04192019-1	1.53200599443374	0.232122120368748	6.6	1.18429653249361
FFD19	FFD	M	F2	04192019-1	2.34296724470135	0.387267313173777	6.05	1.97585363864172
PC167	PC	M	A2	04192019-1	1.27424534360951	0.180744020370143	7.05	0.922163369235423
PC167	PC	M	B2	04192019-1	1.03532434168272	0.151807088223273	6.82	0.774525960322821
PC167	PC	M	C2	04192019-1	0.763005780346821	0.0929361486415129	8.21	0.474164023681188
PC167	PC	M	D2	04192019-1	1.14664953971312	0.110467200357719	10.38	0.563608165090403
PC167	PC	M	E2	04192019-1	1.14750588739028	0.131897228435664	8.7	0.672945043039102
PC167	PC	M	F2	04192019-1	0.505245129522586	0.0711612858482515	7.1	0.363067784940059
PC200	PC	M	A2	04192019-1	2.03639477627917	0.287626380830391	7.08	1.46748153484893
PC200	PC	M	B2	04192019-1	2.43202740312567	0.293015349774177	8.3	1.49497627435805
PC200	PC	M	C2	04192019-1	1.83001498608435	0.214538685355727	8.53	1.09458512936595
PC200	PC	M	D2	04192019-1	2.3241275958039	0.314922438455813	7.38	1.60674713497864
PC200	PC	M	E2	04192019-1	1.32733889959323	0.164274616286291	8.08	0.838135797379036
PC200	PC	M	F2	04192019-1	2.0774994647827	0.352118553353	5.9	1.79652323139286
FFD2	FFD	M	A4	04192019-2	1.60123528276395	0.212136863968444	7.54812366323158	1.28567796344512
FFD2	FFD	M	B4	04192019-2	1.5031847133758	0.146288866801282	10.2754553114265	0.886599192735042
FFD2	FFD	M	C4	04192019-2	1.11175448755067	0.113103389083603	9.82954177198782	0.68547508535517
FFD2	FFD	M	D4	04192019-2	1.40822235089751	0.129886792515529	10.8419210577484	0.787192681912297
FFD2	FFD	M	E4	04192019-2	1.34028179888053	0.137184608431257	9.76991379869077	0.831421869280345
FFD2	FFD	M	F4	04192019-2	1.15267322910635	0.101684363933001	11.3357962278826	0.616268872321218
FFD23	FFD	M	A4	04192019-2	2.16637714726887	0.240708571918763	9	1.45883982981068
FFD23	FFD	M	B4	04192019-2	0.877050762401081	0.113460641966505	7.73	0.687640254342455
FFD23	FFD	M	C4	04192019-2	1.39972978189539	0.151979346568446	9.21	0.921086948899673
FFD23	FFD	M	D4	04192019-2	1.61204400694847	0.170767373617423	9.44	1.03495377949953
FFD23	FFD	M	E4	04192019-2	1.97876857749469	0.25047703512591	7.9	1.51804263712673
FFD23	FFD	M	F4	04192019-2	1.59969117930901	0.216174483690407	7.4	1.31014838600247
PC155	PC	M	A4	04192019-2	1.51476548928778	0.20089727974639	7.54	1.21755927119024
PC155	PC	M	B4	04192019-2	1.37888438525381	0.168774098562278	8.17	1.02287332461987
PC155	PC	M	C4	04192019-2	0.921057710866628	0.14736923373866	6.25	0.893146871143394
PC155	PC	M	D4	04192019-2	1.18664350511484	0.138951230107124	8.54	0.842128667315903
PC155	PC	M	E4	04192019-2	1.00443929743293	0.144523639918407	6.95	0.875900847990345
PC155	PC	M	F4	04192019-2	0.539664157498552	0.0817672965906897	6.6	0.495559373276907
PC200	PC	M	A3	04192019-2	1.06079907353793	0.159999860262131	6.63	0.969696122800794
PC200	PC	M	B3	04192019-2	0.993630573248408	0.119426751592357	8.32	0.723798494499133
PC200	PC	M	C3	04192019-2	0.879366917583478	0.102014723617573	8.62	0.618271052227715
PC200	PC	M	D3	04192019-2	0.661648330438139	0.175503535925236	3.77	1.06365779348628
PC200	PC	M	E3	04192019-2	0.863925883034163	0.141164359972902	6.12	0.855541575593345
PC200	PC	M	F3	04192019-2	0.54198031268095	0.0728468162205578	7.44	0.441495855882168
FFD22	FFD	M	A3	04192019-3	1.2997438087105	0.133994207083557	9.7	0.905366264078088
FFD22	FFD	M	B3	04192019-3	1.13065755764304	0.0974704791071586	11.6	0.658584318291612
FFD22	FFD	M	C3	04192019-3	0.932536293766012	0.0777113578138343	12	0.525076741985367
FFD22	FFD	M	D3	04192019-3	1.20153714773698	0.102695482712562	11.7	0.6938883967065
FFD22	FFD	M	E3	04192019-3	0.888983774551665	0.0811116582620132	10.96	0.548051745013603
FFD22	FFD	M	F3	04192019-3	1.05721605465414	0.0978903754309389	10.8	0.661421455614452
FFD6	FFD	M	A4	04192019-3	1.11784799316823	0.124205332574248	9	0.83922522009627
FFD6	FFD	M	B4	04192019-3	1.2066609735269	0.120065768510139	10.05	0.811255192636074
FFD6	FFD	M	C4	04192019-3	0.776259607173356	0.120724666745467	6.43	0.815707207739642
FFD6	FFD	M	D4	04192019-3	1.29205807002562	0.136436966211787	9.47	0.921871393322885
FFD6	FFD	M	E4	04192019-3	0.897523484201537	0.111355270992747	8.06	0.752400479680723
FFD6	FFD	M	F4	04192019-3	1.19385140905209	0.143319496885005	8.33	0.968374978952737
